x,y,crash,Restaurants,ATMs,Bars,Bus Stops,Convenience Stores,Department Stores,Greengroceries,Hotels,Market Places,Metro Stations,School,Temples,Household,Intersections,Road length
121.520537,25.101102,814,24,0,0,0,3,0,0,0,0,0,1,1,454,206,8315.082858
121.486892,25.145371,438,4,0,0,0,0,0,0,0,0,0,0,0,380,206,10615.72285
121.532418,25.011993,1356,35,1,4,1,4,0,0,0,0,0,0,0,306,205,10767.41982
121.516483,25.061341,676,8,0,0,0,5,0,0,0,0,0,2,0,372,204,7515.973911
121.607069,25.046284,1623,20,0,0,1,1,0,0,0,1,1,0,1,224,204,14580.5459
121.502876,25.102924,210,0,0,0,0,0,0,0,0,0,0,0,0,92,203,19004.17862
121.516492,25.049855,1453,32,0,1,0,10,0,0,0,0,0,0,0,234,202,8182.343494
121.567021,25.050138,1708,25,0,0,0,7,0,0,0,0,0,0,1,660,202,9637.068793
121.514937,25.112798,604,6,0,0,0,4,0,1,0,0,0,0,1,436,202,6136.790777
121.502611,25.114393,840,0,0,0,0,4,0,0,0,0,0,0,1,273,201,13342.23907
121.54057,25.058968,813,17,1,0,2,6,0,0,0,0,0,0,1,751,201,8583.822968
121.510477,25.091065,710,7,0,0,0,1,0,0,0,0,0,0,0,352,199,9564.022496
121.552681,25.087965,990,3,0,0,0,2,0,0,0,1,1,0,2,220,199,9366.520859
121.535058,25.060136,1315,39,0,0,1,5,0,0,0,1,1,0,2,548,198,9340.880916
121.58663,25.076932,516,22,0,0,0,3,0,0,0,1,1,3,0,402,198,7695.681896
121.540261,25.045723,1272,15,0,0,2,3,0,2,0,0,0,1,0,335,197,12310.69431
121.527881,25.120294,593,40,0,3,0,5,1,0,0,0,0,1,0,673,197,7580.386069
121.603687,25.061851,669,0,0,0,0,0,0,0,0,0,0,0,0,35,195,23018.34463
121.546139,25.032119,934,37,0,0,1,3,0,0,0,0,0,0,0,483,195,5247.054432
121.517983,25.051881,637,15,1,1,0,4,0,0,0,0,0,1,3,271,194,5243.263785
121.564336,25.03567,278,96,5,4,1,3,1,1,5,1,1,0,0,537,191,12664.01456
121.60882,25.056188,446,64,1,2,2,6,0,0,0,0,0,2,0,347,191,15483.89501
121.547029,25.059925,2630,34,1,1,3,7,0,0,0,0,0,1,0,740,191,7973.771354
121.506211,25.08395,1215,1,0,0,0,3,0,2,0,0,0,1,0,506,191,8014.58492
121.550883,25.039608,1406,27,1,2,0,8,0,0,1,0,0,0,0,632,191,6189.228018
121.495894,25.033939,1564,16,0,1,0,1,0,0,0,0,0,0,2,428,191,6083.214082
121.546153,24.997205,1036,18,0,0,0,1,0,0,0,0,0,1,0,418,191,4521.651427
121.540686,25.039867,1206,8,0,0,0,5,1,0,1,0,0,1,0,680,190,6572.046516
121.531335,25.031718,521,11,0,0,1,4,0,0,0,0,0,1,0,500,188,6726.03962
121.60274,25.091602,343,3,0,0,0,2,0,0,0,1,1,1,2,212,187,14298.71168
121.506231,25.133842,339,13,0,0,0,3,0,0,0,0,0,1,0,377,187,6916.85268
121.542011,25.005863,376,10,0,1,1,3,0,2,0,0,0,0,0,394,186,5981.23373
121.532537,25.120761,420,10,0,0,0,7,0,0,0,0,0,0,1,604,185,6176.9799
121.602041,25.082522,375,9,0,0,1,3,0,0,0,0,0,0,2,427,185,9409.009482
121.560983,25.049933,281,50,0,0,0,9,0,0,0,0,0,1,0,763,184,6958.323672
121.509934,25.11098,1731,3,1,0,0,2,0,0,0,0,0,0,5,406,184,7181.871938
121.591876,24.986478,1294,14,1,0,0,3,0,0,0,0,0,1,0,240,184,25233.05804
121.550576,25.035373,625,19,0,1,0,6,0,0,0,0,0,2,0,537,183,5734.020921
121.571761,25.083114,273,56,0,1,1,3,0,1,0,0,0,1,1,342,180,4789.625232
121.511748,25.116395,495,16,0,0,0,3,0,0,0,0,0,2,0,484,180,5789.171097
121.517073,25.10955,330,7,0,0,0,7,0,0,0,0,0,0,0,406,180,5150.324702
121.577475,25.021465,481,5,1,0,2,3,0,1,0,0,0,0,0,548,180,14909.46392
121.548321,25.078473,1120,22,0,0,0,6,0,1,0,1,1,1,0,687,179,9157.971051
121.495959,25.143133,84,6,0,0,0,1,0,0,0,0,0,0,1,400,179,5307.660947
121.523215,25.049955,1426,28,1,4,0,4,0,0,0,0,0,0,0,329,177,6362.3336
121.534884,25.064606,1123,26,0,0,1,4,0,0,0,0,0,0,0,425,175,8746.487767
121.53149,25.116207,479,7,0,0,0,4,0,0,1,0,0,1,0,503,174,5400.359809
121.619389,25.071039,342,19,0,0,0,0,0,0,0,0,0,1,0,361,173,5878.96109
121.505845,25.112184,502,5,0,0,0,2,0,2,0,0,0,0,0,306,173,5791.88407
121.534896,24.994994,504,8,1,0,1,2,0,0,0,1,1,1,0,512,173,7709.50673
121.54252,25.064931,428,4,0,0,1,2,0,0,0,0,0,2,0,673,172,7624.479128
121.570273,25.047501,808,1,0,0,0,1,0,0,0,0,0,1,1,357,172,7695.880004
121.537248,24.997501,1205,14,0,0,1,3,0,0,0,0,0,1,1,378,172,7473.722207
121.550874,25.043084,763,21,0,3,0,4,0,0,0,0,0,0,2,415,171,9431.507734
121.513799,25.052056,1379,20,0,0,0,6,0,0,0,0,0,0,0,375,171,8299.925555
121.524456,25.023054,800,24,0,1,1,3,0,0,0,0,0,0,1,586,171,5188.343524
121.52681,25.050065,301,22,0,18,0,11,0,0,0,0,0,0,0,378,170,6136.657399
121.514747,25.023907,828,2,0,0,0,1,0,0,0,0,0,1,0,388,170,9135.533841
121.512778,25.081604,994,0,0,0,0,4,0,0,0,0,0,0,1,338,170,7528.856996
121.560902,24.994247,525,9,0,0,2,2,0,0,0,0,0,0,0,450,170,5549.223815
121.591561,25.078238,458,32,0,0,0,5,1,1,0,0,0,1,0,543,169,5341.763298
121.565031,24.983849,872,43,0,0,0,4,0,0,0,0,0,0,0,489,169,5295.023325
121.530352,25.061404,886,29,1,0,0,7,0,0,0,0,0,0,1,413,168,7820.610674
121.555798,24.995593,460,31,0,0,4,4,0,0,0,0,0,0,0,427,168,6793.033618
121.575718,25.047771,1232,10,0,0,0,2,0,1,0,0,0,1,1,545,168,5996.905437
121.530386,25.059125,679,27,0,0,0,6,0,0,0,0,0,0,0,443,167,7729.824938
121.540916,25.031559,834,28,0,0,0,6,0,0,0,1,1,1,0,655,167,7554.491321
