no,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,lantai,lokasi,price,title
140,45.0,83.0,2.0,1.0,,Sleman Kab.,794000000,Perumahan Istimewa : 794 Jt - 4M Sumber Baru Land - Dijual: Rumah & Apartemen - 918974499
141,190.0,150.0,4.0,5.0,1.0,Sleman Kab.,2400000000,Rumah Baru Mewah Modern 2 Lantai Full Furnish Di Maguwoharjo Sleman - Dijual: Rumah & Apartemen - 919772143
142,100.0,139.0,3.0,3.0,2.0,Sleman Kab.,2100000000,Rumah Modern Kontemporer dekat Jalan Kaliurang Km 7 - Dijual: Rumah & Apartemen - 915929443
143,318.0,157.0,10.0,9.0,1.0,Sleman Kab.,4000000000,"Kost kos Eksklusif Babarsari Dekat Atmajaya,YKPN seturan,UPN,UGM,UII - Dijual: Rumah & Apartemen - 916962587"
147,171.0,146.0,3.0,3.0,2.0,Sleman Kab.,2490000000,JUAL RUMAH MEWAH 2 LANTAI SIAP HUNI DENGAN FURNITUR LENGKAP DI DEPOK - Dijual: Rumah & Apartemen - 921759610
148,125.0,139.0,3.0,3.0,2.0,Sleman Kab.,2200000000,"DIJUAL RUMAH PREMIUM DEKAT UGM, HARGA BERSAHABAT DI DEPOK, SLEMAN - Dijual: Rumah & Apartemen - 921759550"
151,150.0,138.0,4.0,2.0,1.0,Yogyakarta Kota,1450000000,"DEKAT Pintu Tol Gamping Barat Kampus UMY, Dijual RUMAH FULL FURNISHED - Dijual: Rumah & Apartemen - 921758801"
152,160.0,119.0,4.0,3.0,2.0,Sleman Kab.,1690000000,"RUMAH MEWAH SIAP HUNI DIJUAL DEKAT RS JIH MAGUWOHARJO, SLEMAN - Dijual: Rumah & Apartemen - 921758589"
153,188.0,128.0,3.0,3.0,2.0,Sleman Kab.,1950000000,"DIJUAL RUMAH 2 LANTAI FULL FURNISHED DI CONDONGCATUR, SLEMAN - Dijual: Rumah & Apartemen - 921758500"
155,120.0,162.0,3.0,2.0,1.0,Yogyakarta Kota,1250000000,Rumah Dalam Perumahan Kota Jogja Kodya - Dijual: Rumah & Apartemen - 920680486
159,59.0,101.0,3.0,1.0,1.0,Sleman Kab.,549000000,Rumah dalam perumahan 10 menit ke Bandara Adisucipto - Dijual: Rumah & Apartemen - 921758058
161,59.0,104.0,2.0,2.0,1.0,Yogyakarta Kota,450000000,Rumah dalam perumahan 7 menit ke Umy - Dijual: Rumah & Apartemen - 921757810
162,45.0,92.0,1.0,1.0,1.0,Yogyakarta Kota,422000011,Dijual Murah Rumah Baru Dekat Ringroad Selatan Include Balik Nama - Dijual: Rumah & Apartemen - 921757426
163,24.0,26.0,1.0,1.0,1.0,Sleman Kab.,465000000,APARTMENT DIJUAL MURAH DEKAT BANYAK KAMPUS DI SETURAN - Dijual: Rumah & Apartemen - 921757127
164,120.0,60.0,3.0,2.0,2.0,Yogyakarta Kota,1600000000,RUMAH MEWAH DIJUAL DI WARUNGBOTO UMBULHARJO KOTA JOGJA FULL FURNISHED - Dijual: Rumah & Apartemen - 921755770
165,114.0,148.0,3.0,2.0,1.0,Yogyakarta Kota,990000000,RUMAH DIJUAL DI SOROSUTAN UMBULHARJO KOTA JOGJA DALAM PERUMAHAN - Dijual: Rumah & Apartemen - 921754934
166,45.0,85.0,2.0,1.0,1.0,Yogyakarta Kota,675100000,"Rumah Minimalis Murah SHM 15 Menit ke Kotagede, Giwangan 20 Menit UAD - Dijual: Rumah & Apartemen - 919657993"
167,80.0,139.0,3.0,1.0,1.0,Yogyakarta Kota,675000000,Rumah Dekat Malioboro - Dijual: Rumah & Apartemen - 915115166
173,412.0,560.0,5.0,3.0,1.0,Sleman Kab.,4134886000,DIJUAL / DILELANG RUMAH TINGGAL DI KOTA YOGYAKARTA - Dijual: Rumah & Apartemen - 921754169
174,120.0,130.0,4.0,3.0,2.0,Sleman Kab.,1350000000,Rumah baru lingkungan nyaman utara jogjabay Maguwo - Dijual: Rumah & Apartemen - 914914995
175,400.0,550.0,7.0,6.0,2.0,Sleman Kab.,3200000000,Rumah mewah dan halaman luas dekat Jogjabay maguwo - Dijual: Rumah & Apartemen - 915081766
177,200.0,123.0,5.0,3.0,1.0,Sleman Kab.,2500000000,"RUMAH DEPOK 2 LANTAI SEMI FURNISHED DI SLEMAN, JOGJA - Dijual: Rumah & Apartemen - 921753962"
178,135.0,192.0,4.0,3.0,1.0,Yogyakarta Kota,2110011000,Rumah Dijual dengan Kolam Renang Bonus Ac dekat Jalan Wates - Dijual: Rumah & Apartemen - 921753627
180,135.0,200.0,4.0,3.0,1.0,Yogyakarta Kota,2170011000,Rumah Dijual 10 Menit dari Exit Tol Gamping - Dijual: Rumah & Apartemen - 921753446
181,66.0,99.0,3.0,2.0,1.0,Sleman Kab.,825000000,Rumah Strategis Hanya 150 meter dari Ringroad Utara - Dijual: Rumah & Apartemen - 919670608
182,550.0,528.0,7.0,5.0,2.0,Yogyakarta Kota,4400000000,"Rumah Pandeyan Dekat Timoho, Baciro, UAD, UTY, XT Square Jogja - Dijual: Rumah & Apartemen - 921752867"
184,300.0,405.0,8.0,4.0,1.0,Yogyakarta Kota,2800000000,(Nego Keras) 5 Menit dari Malioboro - Dijual Rumah - Dijual: Rumah & Apartemen - 921193913
187,343.0,172.0,10.0,9.0,1.0,Yogyakarta Kota,2000000000,Rumah kost2an 2lt dlm kota dekat xt square - Dijual: Rumah & Apartemen - 921751916
188,100.0,150.0,2.0,2.0,1.0,Yogyakarta Kota,1500000000,Rumah bagus Stategis Selangkah Ke Kantor Balai Kota Jogja - Dijual: Rumah & Apartemen - 921751909
189,171.0,131.0,3.0,3.0,1.0,Yogyakarta Kota,1800000000,Rumah Homestay Furnished Di Tegalrejo Kota Yogyakarta / Kodya - Dijual: Rumah & Apartemen - 921749749
191,70.0,97.0,3.0,2.0,1.0,Sleman Kab.,690000000,RUMAH BARU DEKAT PASAR STAN MAGUWOHARJO SLEMAN YOGYAKARTA - Dijual: Rumah & Apartemen - 914196498
192,36.0,78.0,2.0,1.0,1.0,Yogyakarta Kota,185000000,MALU MASIH NUMPANG SAMA MERTUA? - Dijual: Rumah & Apartemen - 913448429
