x,y,crash,resto,atm,super,bar,busstp,cafe,conven,deptst,fastfd,gc,hotel,market,metro,temple
121.6142406,25.06745392,1370,17,0,2,0,4,3,4,0,5,0,0,1,1,0
121.5136791,25.06864367,672,26,0,0,0,6,0,2,0,0,0,0,0,0,0
121.6112223,25.07037097,506,4,0,1,0,2,2,1,0,0,0,0,0,0,0
121.5442528,25.06773131,1705,29,3,2,0,13,5,7,0,3,0,0,0,1,4
121.5159379,25.06915539,1321,62,0,0,0,10,7,7,0,5,0,0,0,0,2
121.5108894,25.07136506,722,25,0,1,0,4,0,2,0,0,0,0,0,0,0
121.610043,25.07200995,427,18,0,2,0,2,2,1,0,1,0,0,0,0,0
121.6035059,25.06967069,720,23,0,1,0,3,2,5,0,2,0,0,0,0,0
121.5810146,25.06759864,6767,108,5,2,0,38,3,14,0,4,0,0,0,0,1
121.6183058,25.07071896,502,25,0,1,0,5,0,0,0,1,0,0,0,0,0
121.5186204,25.07225444,535,26,0,1,0,7,1,4,0,3,0,0,0,0,0
121.6176812,25.06962567,608,25,0,0,0,4,1,6,0,0,0,0,0,0,0
121.6138823,25.06877909,454,40,0,2,0,2,0,5,0,0,0,0,0,0,0
121.5901202,25.06889043,1493,26,0,0,0,9,0,3,0,0,0,0,0,0,0
121.5909585,25.06846672,1781,23,0,1,0,15,1,4,0,1,0,1,0,0,0
121.5658992,25.06327923,1118,3,0,0,0,10,1,1,0,0,0,0,0,0,0
